ID_Nac;X;Y
CSp-NVI_E4-94-0063;-79,651;-3,864
CSp-NV_E2-90-0064;-79,652;-2,818
CSp-NVI_A2-83-0013;-79,651;-3,144
CSp-NV_E2-90-0065;-79,651;-2,818
CSp-NV_E4-90-0062;-79,651;-2,991
CSp-NVI_E2-92-0065;-79,649;-3,679
CSp-NIV_C4-98-0044;-79,651;-1,625
CSp-NV_E4-90-0061;-79,65;-2,992
CSp-NVI_A2-83-0014;-79,649;-3,135
CSp-NVI_E4-83-0064;-79,646;-3,897
CSp-NVI_E2-83-0077;-79,647;-3,728
CSp-NVI_E4-94-0058;-79,646;-3,848
CSp-NVI_C2-87-0069;-79,646;-3,348
CSp-NVI_A2-84-0012;-79,646;-3,026
CSp-NVI_C2-87-0068;-79,644;-3,353
CSp-NIV_C4-86-0053;-79,645;-1,523
CSp-NVI_A4-95-0008;-79,643;-3,3
CSp-NVI_A2-84-0011;-79,643;-3,022
CSp-NVI_A2-84-0013;-79,642;-3,044
CSp-NIV_C4-99-0041;-79,643;-1,522
CSp-NVI_A4-84-0007;-79,641;-3,213
CSp-NVI_A4-92-0007;-79,64;-3,287
CSp-NVI_E2-92-0064;-79,639;-3,669
CSp-NIV_E2-96-0049;-79,642;-1,68
CSp-NVI_A4-95-0009;-79,64;-3,316
CSp-NVI_A4-84-0006;-79,639;-3,212
CSp-NVI_A4-92-0005;-79,637;-3,275
CSp-NVI_A4-92-0009;-79,637;-3,29
CSp-NVI_A4-92-0008;-79,636;-3,288
CSp-NVI_A4-92-0006;-79,636;-3,276
CSp-NVI_C4-100-0072;-79,635;-3,616
CSp-NVI_A4-84-0009;-79,635;-3,228
CSp-NVI_A4-95-0007;-79,634;-3,305
CSp-NV_E4-89-0059;-79,633;-2,966
CSp-NVI_E2-92-0066;-79,631;-3,708
CSp-NVI_A2-92-0014;-79,632;-3,057
CSp-NVI_E2-83-0042;-79,63;-3,816
CSp-NVI_E2-83-0043;-79,63;-3,815
CSp-NV_E4-89-0060;-79,631;-2,948
CSp-NV_E4-94-0064;-79,631;-2,839
CSp-NVI_A4-83-0031;-79,63;-3,232
CSp-NV_E2-89-0061;-79,63;-2,82
CSp-NVI_E2-94-0065;-79,628;-3,692
CSp-NVI_E4-94-0057;-79,627;-3,871
CSp-NV_E4-89-0063;-79,627;-2,849
CSp-NVI_E2-94-0064;-79,626;-3,672
CSp-NVI_E2-83-0044;-79,625;-3,814
CSp-NVI_A2-100-0015;-79,626;-3,049
CSp-NVI_C2-87-0061;-79,625;-3,492
CSp-NVI_A4-95-0005;-79,625;-3,31
CSp-NIV_E2-86-0059;-79,626;-1,791
CSp-NVI_A4-95-0006;-79,624;-3,309
CSp-NVI_E2-83-0045;-79,623;-3,813
CSp-NVI_A2-92-0013;-79,624;-3,069
CSp-NV_E2-87-0058;-79,623;-2,761
CSp-NVI_A2-92-0012;-79,622;-3,072
CSp-NVI_C2-86-0063;-79,621;-3,351
CSp-NV_E4-89-0058;-79,62;-2,969
CSp-NV_E2-88-0067;-79,621;-2,829
CSp-NVI_E2-94-0066;-79,619;-3,726
CSp-NIV_A4-86-0036;-79,622;-1,326
CSp-NIV_C4-96-0055;-79,622;-1,587
CSp-NIV_C2-96-0040;-79,621;-1,49
CSp-NV_E4-87-0056;-79,62;-2,972
CSp-NV_E4-94-0065;-79,619;-2,849
CSp-NIV_C4-96-0045;-79,619;-1,542
CSp-NVI_E4-92-0056;-79,617;-3,868
CSp-NVI_E4-92-0056;-79,617;-3,868
CSp-NVI_E2-83-0041;-79,617;-3,833
CSp-NVI_E2-83-0046;-79,617;-3,805
CSp-NVI_A2-83-0012;-79,618;-3,001
CSp-NVI_E2-94-0067;-79,616;-3,72
CSp-NV_E2-88-0066;-79,617;-2,83
CSp-NVI_C2-87-0062;-79,615;-3,491
CSp-NVI_E4-94-0056;-79,615;-3,884
CSp-NVI_E2-95-0064;-79,615;-3,751
CSp-NIV_C4-96-0057;-79,617;-1,592
CSp-NIV_C2-96-0044;-79,617;-1,45
CSp-NVI_A2-92-0011;-79,614;-3,077
CSp-NVI_A4-83-0008;-79,613;-3,33
CSp-NIV_C2-96-0043;-79,614;-1,453
CSp-NIV_C2-96-0042;-79,613;-1,457
CSp-NVI_E4-92-0055;-79,61;-3,876
CSp-NIV_A4-99-0037;-79,612;-1,322
CSp-NVI_C2-87-0063;-79,61;-3,483
CSp-NIV_C2-99-0040;-79,612;-1,499
CSp-NV_E2-87-0057;-79,611;-2,756
CSp-NVI_C2-86-0064;-79,609;-3,338
CSp-NVI_A2-84-0024;-79,609;-3,158
CSp-NVI_E4-94-0055;-79,607;-3,899
CSp-NV_E4-87-0055;-79,607;-2,979
CSp-NV_E2-89-0065;-79,607;-2,754
CSp-NVI_C4-100-0073;-79,606;-3,636
CSp-NVI_A2-83-0011;-79,606;-3,008
CSp-NVI_C2-87-0065;-79,605;-3,484
CSp-NVI_C4-92-0052;-79,604;-3,579
CSp-NVI_C4-92-0052;-79,604;-3,579
CSp-NVI_A2-100-0014;-79,605;-3,047
CSp-NV_E2-89-0064;-79,604;-2,754
CSp-NV_E4-87-0054;-79,602;-2,981
CSp-NV_E4-94-0067;-79,603;-2,848
CSp-NVI_E2-100-0074;-79,601;-3,672
CSp-NIII_A2-89-0005;-79,604;-0,026
CSp-NVI_E2-92-0049;-79,601;-3,729
CSp-NIV_C2-96-0041;-79,603;-1,47
CSp-NVI_A4-83-0007;-79,6;-3,332
CSp-NVI_C4-92-0051;-79,6;-3,58
CSp-NVI_E2-92-0033;-79,6;-3,769
CSp-NVI_C4-92-0050;-79,6;-3,578
CSp-NVI_A2-92-0010;-79,6;-3,092
CSp-NVI_A2-84-0025;-79,598;-3,162
CSp-NV_E4-87-0053;-79,598;-2,981
CSp-NIV_C4-96-0051;-79,599;-1,624
CSp-NIV_C4-96-0052;-79,599;-1,641
CSp-NVI_E4-92-0054;-79,595;-3,869
CSp-NIV_C4-96-0050;-79,597;-1,629
CSp-NVI_A2-100-0013;-79,595;-3,056
CSp-NIII_A2-89-0004;-79,596;-0,021
CSp-NVI_E2-95-0067;-79,593;-3,71
CSp-NVI_A2-100-0012;-79,593;-3,058
CSp-NV_E4-90-0067;-79,592;-2,858
CSp-NIV_C4-96-0053;-79,593;-1,646
CSp-NVI_A2-100-0009;-79,591;-3,006
CSp-NIV_C4-99-0038;-79,591;-1,526
CSp-NVI_C2-86-0061;-79,589;-3,344
CSp-NVI_A4-92-0022;-79,589;-3,168
CSp-NVI_A4-84-0026;-79,589;-3,168
CSp-NVI_C2-86-0062;-79,588;-3,351
CSp-NVI_A2-94-0013;-79,588;-3,087
CSp-NIV_A4-99-0036;-79,589;-1,315
CSp-NVI_A4-92-0023;-79,587;-3,177
CSp-NVI_A4-83-0006;-79,586;-3,314
CSp-NVI_C2-99-0053;-79,586;-3,435
CSp-NIV_C4-99-0039;-79,588;-1,517
CSp-NVI_E2-95-0065;-79,585;-3,703
CSp-NVI_C2-99-0055;-79,586;-3,403
CSp-NVI_C2-99-0056;-79,585;-3,394
CSp-NVI_C2-99-0048;-79,584;-3,472
CSp-NVI_A2-100-0010;-79,585;-3,007
CSp-NVI_A2-83-0009;-79,585;-3,035
CSp-NVI_E2-83-0040;-79,581;-3,735
CSp-NVI_A2-83-0010;-79,582;-3,031
CSp-NVI_A4-83-0005;-79,581;-3,315
CSp-NVI_C2-86-0060;-79,581;-3,353
CSp-NVI_A2-100-0008;-79,581;-3,013
CSp-NVI_C2-99-0049;-79,579;-3,477
CSp-NVI_C2-99-0050;-79,579;-3,474
CSp-NV_E4-97-0077;-79,58;-2,855
CSp-NV_E4-94-0041;-79,579;-2,887
CSp-NIV_A4-99-0035;-79,58;-1,318
CSp-NV_E4-94-0042;-79,578;-2,887
CSp-NIV_A4-99-0034;-79,579;-1,318
CSp-NVI_C2-99-0052;-79,575;-3,459
