ID_Nac;Hor;Hmor;Mor_Pp;Mor_suf;Mor_ sec;Lim_sup;Lim_inf;CO;pH_H2O;PH;CE_dS/m
CSp-ÑVI_A4-87-0051;4;Bw;B;w;1;85;110;0;0;0;0
CSp-ÑVI_A4-87-0052;1;Ap;A;p;1;0;30;2,749;6,4;0,064;0,04
CSp-ÑVI_A4-87-0052;2;Bw;B;w;1;30;70;0,667;6,5;0,065;0,03
CSp-ÑVI_A4-87-0052;3;Ab;A;b;1;70;110;0;0;0;0
CSp-ÑVI_A4-87-0052;4;BC;B;C;1;110;150;0;0;0;0
CSp-ÑVI_A4-88-0025;1;Ap;A;p;1;0;10;6,647;6,2;0,062;0,16
CSp-ÑVI_A4-88-0025;2;Bw1;B;w;1;10;44;1,421;5,9;0,059;0,01
CSp-ÑVI_A4-88-0025;3;Bw2;B;w;1;44;65;0;0;0;0
CSp-ÑVI_A4-88-0025;4;2BC;B;C;2;65;92;0;0;0;0
CSp-ÑVI_A4-88-0025;5;2Cr;C;r;2;92;150;0;0;0;0
CSp-ÑVI_A4-88-0027;1;Oe;O;e;1;0;20;0;0;0;0
CSp-ÑVI_A4-88-0027;2;A;A;;1;20;46;3,805;4,6;0,046;0,04
CSp-ÑVI_A4-88-0027;3;Bw;B;w;1;46;78;1,276;5,9;0,059;0,02
CSp-ÑVI_A4-88-0027;4;C;C;;1;78;130;0;0;0;0
CSp-ÑVI_A4-88-0028;1;Ap;A;p;1;0;12;2,546;4,7;0,047;0,05
CSp-ÑVI_A4-88-0028;2;A;A;;1;12;30;1,81;5,8;0,058;0,01
CSp-ÑVI_A4-88-0028;3;Bw1;B;w;1;30;72;0;0;0;0
CSp-ÑVI_A4-88-0028;4;Bw2;B;w;1;72;105;0;0;0;0
CSp-ÑVI_A4-88-0028;5;BC;B;C;1;105;130;0;0;0;0
CSp-ÑVI_A4-88-0028;6;C;C;;1;130;150;0;0;0;0
CSp-ÑVI_A4-88-0029;1;Ap;A;p;1;0;15;2,599;5,9;0,059;0,03
CSp-ÑVI_A4-88-0029;2;Bw1;B;w;1;15;42;0,766;6;0,06;0,02
CSp-ÑVI_A4-88-0029;3;Bw2;B;w;1;42;80;0;0;0;0
CSp-ÑVI_A4-88-0029;4;Bw3;B;w;1;80;105;0;0;0;0
CSp-ÑVI_A4-88-0029;5;C;C;;1;105;115;0;0;0;0
CSp-ÑVI_A4-89-0001;1;Ap;A;p;1;0;15;4,71;5,9;0,059;0,07
CSp-ÑVI_A4-89-0001;2;Bw1;B;w;1;15;50;1,7;6;0,06;0,01
CSp-ÑVI_A4-89-0001;3;Bw2;B;w;1;50;100;0;0;0;0
CSp-ÑVI_A4-89-0001;4;BC;B;C;1;100;150;0;0;0;0
CSp-ÑVI_A4-89-0006;1;Ap;A;p;1;0;38;0,041;6,3;0,063;0,02
CSp-ÑVI_A4-89-0006;2;Bw;B;w;1;38;85;0,273;6,1;0,061;0,01
CSp-ÑVI_A4-89-0006;3;Cg;C;g;1;85;120;0;0;0;0
CSp-ÑVI_A4-89-0014;1;Ap;A;p;1;0;20;4,751;5,6;0,056;0,12
CSp-ÑVI_A4-89-0014;2;Bw;B;w;1;20;45;1,148;6,1;0,061;0,01
CSp-ÑVI_A4-89-0014;3;BC;B;C;1;45;103;0;0;0;0
CSp-ÑVI_A4-89-0014;4;C;C;;1;103;140;0;0;0;0
CSp-ÑVI_A4-89-0048;1;Ap;A;p;1;0;15;2,819;5,9;0,059;0,03
CSp-ÑVI_A4-89-0048;2;Bw1;B;w;1;15;50;0,087;6,7;0,067;0,01
CSp-ÑVI_A4-89-0048;3;BC1;B;C;1;50;82;0;0;0;0
CSp-ÑVI_A4-89-0048;4;BC2;B;C;1;82;115;0;0;0;0
CSp-ÑVI_A4-89-0048;5;C;C;;1;115;120;0;0;0;0
CSp-ÑVI_A4-89-0055;1;Ap;A;p;1;0;25;0,568;6,4;0,064;0,01
CSp-ÑVI_A4-89-0055;2;Bw1;B;w;1;25;80;0,255;6,6;0,066;0,02
CSp-ÑVI_A4-89-0055;3;Bw2;B;w;1;80;130;0;0;0;0
CSp-ÑVI_A4-89-0060;1;Ap;A;p;1;0;15;3,579;5,5;0,055;0,01
CSp-ÑVI_A4-89-0060;2;Bw1;B;w;1;15;60;1,224;6,2;0,062;0,01
CSp-ÑVI_A4-89-0060;3;BC;B;C;1;60;100;0;0;0;0
CSp-ÑVI_A4-89-0060;4;C;C;;1;100;120;0;0;0;0
CSp-ÑVI_A4-89-0061;1;Ap;A;p;1;0;15;3,567;5,6;0,056;0,04
CSp-ÑVI_A4-89-0061;2;Bw;B;w;1;15;60;1,137;6,1;0,061;0,02
CSp-ÑVI_A4-89-0061;3;Cr;C;r;1;60;130;0;0;0;0
CSp-ÑVI_A4-89-0062;1;Ap;A;p;1;0;20;1,787;5,6;0,056;0,07
CSp-ÑVI_A4-89-0062;2;C;C;;1;20;125;0;0;0;0
CSp-ÑVI_A4-89-0068;1;Ap;A;p;1;0;32;2,825;5;0,05;0,03
CSp-ÑVI_A4-89-0068;2;Bw1;B;w;1;32;58;0,945;5,6;0,056;0,02
CSp-ÑVI_A4-89-0068;3;Bw2;B;w;1;58;110;0;0;0;0
CSp-ÑVI_A4-89-0068;4;C;C;;1;110;125;0;0;0;0
CSp-ÑVI_A4-89-0069;1;Ap;A;p;1;0;20;2,564;5,8;0,058;0,02
CSp-ÑVI_A4-89-0069;2;Bw;B;w;1;20;52;1,456;5,8;0,058;0,02
CSp-ÑVI_A4-89-0069;3;BC;B;C;1;52;95;0;0;0;0
CSp-ÑVI_A4-89-0069;4;C;C;;1;95;140;0;0;0;0
CSp-ÑVI_A4-89-0070;1;Ap;A;p;1;0;20;3,602;5,7;0,057;0,02
CSp-ÑVI_A4-89-0070;2;Bw;B;w;1;20;43;0,394;5,9;0,059;0,02
CSp-ÑVI_A4-89-0070;3;BC;B;C;1;43;90;0;0;0;0
CSp-ÑVI_A4-89-0070;4;C;C;;1;90;140;0;0;0;0
CSp-ÑVI_A4-89-0071;1;Ap;A;p;1;0;18;2,32;6;0,06;0,02
CSp-ÑVI_A4-89-0071;2;C;C;;1;18;150;0;0;0;0
CSp-ÑVI_A4-89-0072;1;Ap;A;p;1;0;17;4,217;5,2;0,052;0,01
CSp-ÑVI_A4-89-0072;2;Bw1;B;w;1;17;40;1,555;5,8;0,058;0,03
CSp-ÑVI_A4-89-0072;3;Bw2;B;w;1;40;85;0;0;0;0
CSp-ÑVI_A4-89-0072;4;Cr;C;r;1;85;135;0;0;0;0
CSp-ÑVI_A4-89-0075;1;A;A;;1;0;20;5,737;5,81;0,0581;0,18
CSp-ÑVI_A4-89-0075;2;Bw1;B;w;1;20;45;1,543;5,86;0,0586;0,04
CSp-ÑVI_A4-89-0075;3;Bw2;B;w;1;45;85;0;0;0;0
CSp-ÑVI_A4-89-0075;4;BC;B;C;1;85;150;0;0;0;0
CSp-ÑVI_A4-89-0076;1;Ap;A;p;1;0;25;1,381;6,28;0,0628;0,05
